date,store,product,price,units_sold,promotion,holiday
2023-01-01,Dublin,Product A,20.25,33,0,1
2023-01-02,Dublin,Product A,20.25,38,1,0
2023-01-03,Dublin,Product A,20.25,44,0,0
2023-01-04,Dublin,Product A,20.25,26,0,0
2023-01-05,Dublin,Product A,20.25,19,1,1
2023-01-06,Dublin,Product A,20.25,31,0,1
2023-01-07,Dublin,Product A,20.25,23,0,0
2023-01-08,Dublin,Product A,20.25,38,1,1
2023-01-09,Dublin,Product A,20.25,6,1,1
2023-01-10,Dublin,Product A,20.25,41,0,1
2023-01-11,Dublin,Product A,20.25,28,1,0
2023-01-12,Dublin,Product A,20.25,38,0,0
2023-01-13,Dublin,Product A,20.25,41,0,0
2023-01-14,Dublin,Product A,20.25,38,0,1
2023-01-15,Dublin,Product A,20.25,40,1,0
2023-01-16,Dublin,Product A,20.25,34,0,1
2023-01-17,Dublin,Product A,20.25,9,0,0
2023-01-18,Dublin,Product A,20.25,30,1,0
2023-01-19,Dublin,Product A,20.25,21,1,1
2023-01-20,Dublin,Product A,20.25,21,0,0
2023-01-21,Dublin,Product A,20.25,18,0,1
2023-01-22,Dublin,Product A,20.25,6,0,0
2023-01-23,Dublin,Product A,20.25,12,1,0
2023-01-24,Dublin,Product A,20.25,24,1,0
2023-01-25,Dublin,Product A,20.25,9,0,1
2023-01-26,Dublin,Product A,20.25,20,0,0
2023-01-27,Dublin,Product A,20.25,18,0,1
2023-01-28,Dublin,Product A,20.25,32,1,0
2023-01-29,Dublin,Product A,20.25,38,0,1
2023-01-30,Dublin,Product A,20.25,43,1,0
2023-01-31,Dublin,Product A,20.25,32,1,1
2023-02-01,Dublin,Product A,20.25,21,0,1
2023-02-02,Dublin,Product A,20.25,13,1,0
2023-02-03,Dublin,Product A,20.25,16,0,1
2023-02-04,Dublin,Product A,20.25,16,0,0
2023-02-05,Dublin,Product A,20.25,28,0,1
2023-02-06,Dublin,Product A,20.25,36,1,1
2023-02-07,Dublin,Product A,20.25,35,1,0
2023-02-08,Dublin,Product A,20.25,11,0,1
2023-02-09,Dublin,Product A,20.25,22,1,0
2023-02-10,Dublin,Product A,20.25,21,0,1
2023-02-11,Dublin,Product A,20.25,43,1,1
2023-02-12,Dublin,Product A,20.25,24,1,1
2023-02-13,Dublin,Product A,20.25,22,1,0
2023-02-14,Dublin,Product A,20.25,33,1,0
2023-02-15,Dublin,Product A,20.25,8,0,0
2023-02-16,Dublin,Product A,20.25,33,0,0
2023-02-17,Dublin,Product A,20.25,14,0,0
2023-02-18,Dublin,Product A,20.25,36,0,0
2023-02-19,Dublin,Product A,20.25,12,0,0
2023-02-20,Dublin,Product A,20.25,42,0,0
2023-02-21,Dublin,Product A,20.25,49,0,1
2023-02-22,Dublin,Product A,20.25,21,0,1
2023-02-23,Dublin,Product A,20.25,45,0,0
2023-02-24,Dublin,Product A,20.25,42,1,1
2023-02-25,Dublin,Product A,20.25,39,0,0
2023-02-26,Dublin,Product A,20.25,9,0,1
2023-02-27,Dublin,Product A,20.25,27,1,0
2023-02-28,Dublin,Product A,20.25,6,0,1
2023-03-01,Dublin,Product A,20.25,23,0,1
2023-03-02,Dublin,Product A,20.25,35,1,0
2023-03-03,Dublin,Product A,20.25,41,1,0
2023-03-04,Dublin,Product A,20.25,9,1,0
2023-03-05,Dublin,Product A,20.25,11,0,1
2023-03-06,Dublin,Product A,20.25,20,1,0
2023-03-07,Dublin,Product A,20.25,21,1,0
2023-03-08,Dublin,Product A,20.25,39,0,0
2023-03-09,Dublin,Product A,20.25,20,1,0
2023-03-10,Dublin,Product A,20.25,22,0,0
2023-03-11,Dublin,Product A,20.25,7,0,1
2023-03-12,Dublin,Product A,20.25,41,0,1
2023-03-13,Dublin,Product A,20.25,15,1,0
2023-03-14,Dublin,Product A,20.25,24,0,1
2023-03-15,Dublin,Product A,20.25,9,0,0
2023-03-16,Dublin,Product A,20.25,15,0,1
2023-03-17,Dublin,Product A,20.25,46,0,1
2023-03-18,Dublin,Product A,20.25,47,0,0
2023-03-19,Dublin,Product A,20.25,28,0,1
2023-03-20,Dublin,Product A,20.25,8,0,0
2023-03-21,Dublin,Product A,20.25,5,1,1
2023-03-22,Dublin,Product A,20.25,30,0,1
2023-03-23,Dublin,Product A,20.25,35,0,0
2023-03-24,Dublin,Product A,20.25,30,0,0
2023-03-25,Dublin,Product A,20.25,48,1,0
2023-03-26,Dublin,Product A,20.25,17,0,0
2023-03-27,Dublin,Product A,20.25,38,1,1
